customer_id,delivery_rating,food_rating,helpful_count,order_id,rating,restaurant_id,review_date,review_id,review_text
CUST-08358,5,5,3,ORD-00001980,4,REST-07923,2025-11-23T23:05:04.759Z,REV-015026,Really good Fast Food food. Enjoyed the food.
CUST-00567,4,5,17,ORD-00039725,5,REST-13707,2025-12-24T21:16:04.759Z,REV-015027,Absolutely amazing! Best Fast Food food in Toronto!
CUST-01290,6,6,42,ORD-00030245,5,REST-22134,2025-11-22T06:46:04.759Z,REV-015028,Incredible experience. The meal was perfect!
CUST-00155,6,6,34,ORD-00025148,5,REST-20544,2026-01-01T18:20:04.759Z,REV-015029,Five stars all the way! Will definitely order again.
CUST-06688,4,4,31,ORD-00012594,5,REST-02722,2026-01-28T07:25:04.759Z,REV-015030,This place never disappoints. Always fresh and tasty.
CUST-03828,3,3,1,ORD-00029482,3,REST-11166,2025-12-27T14:52:04.759Z,REV-015031,Mediocre. Delivery took longer than expected.
CUST-06054,4,4,39,ORD-00004237,5,REST-10689,2026-02-02T07:59:04.759Z,REV-015032,Five stars all the way! Will definitely order again.
CUST-04589,4,5,8,ORD-00038882,5,REST-03634,2025-12-05T05:04:04.759Z,REV-015033,Absolutely amazing! Best Restaurant food in Toronto!
CUST-01124,5,4,2,ORD-00024221,4,REST-08631,2025-12-24T14:37:04.759Z,REV-015034,Solid choice for Restaurant. Delivery was quick too.
CUST-09039,2,4,6,ORD-00029566,3,REST-11098,2026-01-27T08:28:04.759Z,REV-015035,Mediocre. Delivery took longer than expected.
CUST-07413,3,2,10,ORD-00033541,3,REST-14395,2026-01-13T06:22:04.759Z,REV-015036,Average experience. Food was fine but not remarkable.
CUST-00521,4,4,1,ORD-00022707,4,REST-04087,2026-01-12T22:06:04.759Z,REV-015037,Good experience overall. Food was tasty and hot.
CUST-03626,5,6,39,ORD-00041135,5,REST-18503,2026-01-16T03:40:04.759Z,REV-015038,Incredible experience. The Restaurant dishes was perfect!
CUST-01663,2,3,9,ORD-00014295,3,REST-02511,2026-01-29T20:13:04.759Z,REV-015039,Decent Restaurant food but nothing special.
CUST-07932,2,4,3,ORD-00006330,3,REST-08754,2026-01-27T12:52:04.759Z,REV-015040,Mediocre. Delivery took longer than expected.
CUST-07562,4,4,9,ORD-00030362,5,REST-19430,2025-12-26T07:58:04.759Z,REV-015041,Five stars all the way! Will definitely order again.
CUST-08216,1,1,24,ORD-00012531,1,REST-02974,2026-02-05T19:00:04.759Z,REV-015042,Terrible experience. Food was cold and tasteless.
CUST-00084,3,3,2,ORD-00034910,4,REST-15985,2025-12-07T17:56:04.759Z,REV-015043,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-02892,5,4,3,ORD-00044861,4,REST-10849,2025-12-13T01:26:04.759Z,REV-015044,Solid choice for Restaurant. Delivery was quick too.
CUST-05144,4,6,10,ORD-00005259,5,REST-12416,2025-12-17T21:35:04.759Z,REV-015045,Five stars all the way! Will definitely order again.
CUST-01583,4,2,0,ORD-00019628,3,REST-03449,2025-12-02T20:50:04.759Z,REV-015046,Mediocre. Delivery took longer than expected.
CUST-00767,4,5,3,ORD-00049528,4,REST-02472,2026-02-06T04:32:04.759Z,REV-015047,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-02796,1,1,2,ORD-00023123,2,REST-02987,2026-02-14T00:02:04.759Z,REV-015048,Food arrived cold and the quality wasn't great.
CUST-00670,4,4,6,ORD-00039915,3,REST-17377,2026-01-24T23:36:04.759Z,REV-015049,Decent Restaurant food but nothing special.
CUST-08320,1,2,26,ORD-00023333,1,REST-16917,2026-01-10T11:38:04.759Z,REV-015050,Completely unacceptable. Food was inedible.
CUST-07491,3,4,8,ORD-00033449,4,REST-03419,2026-01-14T21:30:04.759Z,REV-015051,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-05058,2,3,2,ORD-00000133,3,REST-10839,2025-12-10T12:29:04.759Z,REV-015052,Mediocre. Delivery took longer than expected.
CUST-01502,1,2,8,ORD-00020159,2,REST-07195,2025-11-27T11:42:04.759Z,REV-015053,Subpar quality. Expected better.
CUST-05999,4,4,3,ORD-00005443,4,REST-07403,2025-11-25T09:42:04.759Z,REV-015054,Solid choice for Restaurant. Delivery was quick too.
CUST-01347,3,1,9,ORD-00029975,2,REST-05505,2025-11-19T14:42:04.759Z,REV-015055,Below expectations. Won't be ordering again.
CUST-01868,4,6,21,ORD-00005411,5,REST-10700,2025-12-25T11:21:04.759Z,REV-015056,Five stars all the way! Will definitely order again.
CUST-06320,2,2,7,ORD-00048839,3,REST-15680,2025-12-31T05:07:04.759Z,REV-015057,It was okay. The Fast Food dishes could be better.
CUST-09527,6,4,16,ORD-00033094,5,REST-11547,2025-12-31T19:27:04.759Z,REV-015058,This place never disappoints. Always fresh and tasty.
CUST-06782,6,4,0,ORD-00048355,5,REST-02803,2025-12-01T19:26:04.759Z,REV-015059,Outstanding service and delicious food. Highly recommend!
CUST-06687,6,4,48,ORD-00001385,5,REST-08758,2025-11-26T15:49:04.759Z,REV-015060,Incredible experience. The food was perfect!
CUST-05674,6,6,28,ORD-00029864,5,REST-17277,2026-01-19T22:28:04.759Z,REV-015061,Outstanding service and delicious food. Highly recommend!
CUST-09912,4,4,20,ORD-00002712,5,REST-19486,2026-01-20T20:23:04.759Z,REV-015062,Five stars all the way! Will definitely order again.
CUST-08463,3,5,10,ORD-00028319,4,REST-20777,2026-01-13T11:28:04.759Z,REV-015063,Good experience overall. Food was tasty and hot.
CUST-05286,4,5,2,ORD-00014336,4,REST-03791,2025-11-25T11:47:04.759Z,REV-015064,Good experience overall. Food was tasty and hot.
CUST-08358,3,4,3,ORD-00025371,4,REST-19358,2026-01-23T23:02:04.759Z,REV-015065,Solid choice for Fast Food. Delivery was quick too.
CUST-00046,4,4,8,ORD-00029920,3,REST-06768,2026-01-15T03:35:04.759Z,REV-015066,It was okay. The food could be better.
CUST-01137,4,3,1,ORD-00037191,4,REST-05587,2026-01-29T15:05:04.759Z,REV-015067,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-06990,2,2,6,ORD-00045953,3,REST-15962,2025-12-26T08:40:04.759Z,REV-015068,It was okay. The food could be better.
CUST-06982,6,4,41,ORD-00042795,5,REST-06801,2026-01-16T15:17:04.759Z,REV-015069,Five stars all the way! Will definitely order again.
CUST-06750,4,5,45,ORD-00010431,5,REST-09881,2026-01-08T20:26:04.759Z,REV-015070,Incredible experience. The dish was perfect!
CUST-03170,3,3,9,ORD-00025999,4,REST-09029,2026-02-15T17:41:04.759Z,REV-015071,Really good Fast Food food. Enjoyed the Fast Food dishes.
CUST-06105,3,3,9,ORD-00002764,4,REST-18101,2026-02-06T14:46:04.759Z,REV-015072,Really good Restaurant food. Enjoyed the dish.
CUST-06629,6,6,34,ORD-00023449,5,REST-10624,2025-11-23T16:09:04.759Z,REV-015073,Incredible experience. The meal was perfect!
CUST-01413,1,2,4,ORD-00032331,2,REST-07841,2026-01-28T06:47:04.759Z,REV-015074,Food arrived cold and the quality wasn't great.
CUST-02146,1,2,28,ORD-00020657,1,REST-16035,2025-12-23T18:43:04.759Z,REV-015075,Never ordering from here again. Horrible.
CUST-05113,4,4,47,ORD-00002003,5,REST-14945,2025-12-30T17:03:04.759Z,REV-015076,Absolutely amazing! Best Restaurant food in Toronto!
CUST-03106,3,3,8,ORD-00009688,4,REST-09977,2025-12-15T13:28:04.759Z,REV-015077,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-08062,4,6,33,ORD-00000823,5,REST-01195,2025-12-26T01:03:04.759Z,REV-015078,This place never disappoints. Always fresh and tasty.
CUST-00210,3,4,6,ORD-00027699,3,REST-11412,2026-01-14T16:36:04.759Z,REV-015079,Average experience. Food was fine but not remarkable.
CUST-05174,3,1,1,ORD-00001215,2,REST-16938,2025-11-29T10:41:04.759Z,REV-015080,Subpar quality. Expected better.
CUST-00128,4,3,9,ORD-00025501,4,REST-12921,2025-12-17T12:31:04.759Z,REV-015081,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-00130,3,3,7,ORD-00041596,4,REST-17869,2025-11-22T08:54:04.759Z,REV-015082,Solid choice for Restaurant. Delivery was quick too.
CUST-01256,6,5,7,ORD-00046027,5,REST-21634,2025-12-04T10:33:04.759Z,REV-015083,Five stars all the way! Will definitely order again.
CUST-07511,3,2,2,ORD-00028509,2,REST-13448,2026-02-10T04:44:04.759Z,REV-015084,Subpar quality. Expected better.
CUST-00457,6,5,42,ORD-00047386,5,REST-03602,2025-12-14T16:08:04.759Z,REV-015085,Absolutely amazing! Best Restaurant food in Toronto!
CUST-03060,1,1,10,ORD-00029980,2,REST-17415,2025-12-29T16:31:04.759Z,REV-015086,Disappointed with the food. Not worth the price.
CUST-07235,5,4,0,ORD-00025083,4,REST-10914,2025-11-24T22:43:04.759Z,REV-015087,Really good Restaurant food. Enjoyed the dish.
CUST-08060,6,6,44,ORD-00034254,5,REST-03976,2025-11-30T06:52:04.759Z,REV-015088,Outstanding service and delicious food. Highly recommend!
CUST-00805,4,6,50,ORD-00033551,5,REST-10917,2025-12-18T00:38:04.759Z,REV-015089,Five stars all the way! Will definitely order again.
CUST-06705,3,3,7,ORD-00042722,4,REST-05293,2026-01-24T17:58:04.759Z,REV-015090,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-09246,2,1,2,ORD-00049772,2,REST-14981,2026-01-18T02:24:04.759Z,REV-015091,Disappointed with the dish. Not worth the price.
CUST-03614,5,5,5,ORD-00025899,5,REST-03273,2026-02-13T04:01:04.759Z,REV-015092,This place never disappoints. Always fresh and tasty.
CUST-00647,5,6,30,ORD-00011115,5,REST-18170,2026-01-28T04:26:04.759Z,REV-015093,Five stars all the way! Will definitely order again.
CUST-04948,5,6,33,ORD-00000081,5,REST-03942,2025-12-06T09:33:04.759Z,REV-015094,This place never disappoints. Always fresh and tasty.
CUST-00909,4,3,2,ORD-00038019,4,REST-04262,2025-12-16T19:40:04.759Z,REV-015095,Good experience overall. Food was tasty and hot.
CUST-01856,2,3,8,ORD-00019961,3,REST-10543,2026-01-20T17:53:04.759Z,REV-015096,Decent Restaurant food but nothing special.
CUST-06114,5,6,24,ORD-00004317,5,REST-15159,2026-02-09T16:30:04.759Z,REV-015097,Incredible experience. The Fast Food dishes was perfect!
CUST-09561,4,5,18,ORD-00048285,5,REST-12359,2026-01-14T20:32:04.759Z,REV-015098,Five stars all the way! Will definitely order again.
CUST-04914,5,5,20,ORD-00021307,5,REST-01479,2025-12-31T05:02:04.759Z,REV-015099,Outstanding service and delicious food. Highly recommend!
CUST-04280,5,5,15,ORD-00047597,5,REST-18403,2026-01-30T21:50:04.759Z,REV-015100,Incredible experience. The food was perfect!
CUST-00238,3,2,7,ORD-00009758,3,REST-06178,2026-01-03T20:07:04.759Z,REV-015101,Mediocre. Delivery took longer than expected.
CUST-06298,4,2,4,ORD-00013538,3,REST-08842,2025-11-20T19:30:04.759Z,REV-015102,It was okay. The food could be better.
CUST-09236,3,4,7,ORD-00012970,4,REST-04932,2026-01-19T16:39:04.759Z,REV-015103,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-01949,4,4,10,ORD-00030834,4,REST-20331,2025-11-21T18:34:04.759Z,REV-015104,Really good Restaurant food. Enjoyed the Restaurant dishes.
CUST-04602,5,4,6,ORD-00033740,4,REST-19678,2025-11-30T18:42:04.759Z,REV-015105,Good experience overall. Food was tasty and hot.
CUST-00291,6,6,5,ORD-00029701,5,REST-06111,2026-01-01T00:15:04.759Z,REV-015106,Absolutely amazing! Best Restaurant food in Toronto!
CUST-00480,2,1,4,ORD-00016243,2,REST-14741,2025-11-21T11:59:04.759Z,REV-015107,Disappointed with the food. Not worth the price.
CUST-00513,6,6,12,ORD-00036571,5,REST-10976,2026-01-06T11:40:04.759Z,REV-015108,This place never disappoints. Always fresh and tasty.
CUST-01503,2,2,40,ORD-00000804,1,REST-14099,2026-02-12T03:56:04.759Z,REV-015109,Completely unacceptable. Food was inedible.
CUST-01117,5,4,10,ORD-00017055,4,REST-08159,2025-12-07T18:31:04.759Z,REV-015110,Good experience overall. Food was tasty and hot.
CUST-01493,2,3,10,ORD-00008059,3,REST-18340,2026-01-16T01:03:04.759Z,REV-015111,Average experience. Food was fine but not remarkable.
CUST-00225,5,5,1,ORD-00043114,4,REST-00682,2025-12-10T09:18:04.759Z,REV-015112,Solid choice for Restaurant. Delivery was quick too.
CUST-06183,3,4,6,ORD-00015026,4,REST-02123,2025-12-25T01:52:04.759Z,REV-015113,"Great flavors, good portion sizes. Would order again."
CUST-08067,5,4,0,ORD-00030074,4,REST-01186,2026-01-09T13:54:04.759Z,REV-015114,Solid choice for Restaurant. Delivery was quick too.
CUST-02494,5,3,1,ORD-00018081,4,REST-15832,2026-01-23T20:36:04.759Z,REV-015115,Good experience overall. Food was tasty and hot.
CUST-03448,3,4,2,ORD-00016747,4,REST-05323,2025-11-25T00:06:04.759Z,REV-015116,Solid choice for Restaurant. Delivery was quick too.
CUST-01529,5,4,50,ORD-00028111,5,REST-01378,2025-12-31T15:01:04.759Z,REV-015117,Incredible experience. The food was perfect!
CUST-07851,5,3,1,ORD-00023355,4,REST-13262,2026-01-10T19:55:04.759Z,REV-015118,Good experience overall. Food was tasty and hot.
CUST-07173,6,6,22,ORD-00026779,5,REST-12380,2026-01-12T04:19:04.759Z,REV-015119,Incredible experience. The Cafe dishes was perfect!
CUST-02075,2,3,7,ORD-00034457,2,REST-13514,2026-01-26T16:06:04.759Z,REV-015120,Not happy with this order. Several issues.
CUST-08379,5,4,2,ORD-00017305,5,REST-20403,2025-12-04T02:28:04.759Z,REV-015121,Outstanding service and delicious food. Highly recommend!
CUST-09399,6,4,11,ORD-00030296,5,REST-01763,2026-02-07T11:56:04.759Z,REV-015122,Five stars all the way! Will definitely order again.
CUST-06190,5,4,4,ORD-00028598,4,REST-13375,2026-01-08T16:19:04.759Z,REV-015123,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-09548,4,4,6,ORD-00002622,3,REST-11894,2026-02-08T22:32:04.759Z,REV-015124,Not bad but I've had better Restaurant elsewhere.
CUST-10000,6,4,15,ORD-00040015,5,REST-07413,2026-01-11T08:14:04.759Z,REV-015125,Outstanding service and delicious food. Highly recommend!
CUST-01355,6,5,33,ORD-00024515,5,REST-15957,2026-01-18T00:35:04.759Z,REV-015126,Five stars all the way! Will definitely order again.
CUST-09110,3,4,10,ORD-00032630,3,REST-08206,2025-11-20T06:16:04.759Z,REV-015127,Mediocre. Delivery took longer than expected.
CUST-09840,2,1,43,ORD-00020652,1,REST-03433,2026-01-05T04:47:04.759Z,REV-015128,Completely unacceptable. Food was inedible.
CUST-04274,4,4,5,ORD-00040278,4,REST-03581,2026-01-02T00:51:04.759Z,REV-015129,"Great flavors, good portion sizes. Would order again."
CUST-00099,4,4,2,ORD-00016723,4,REST-18321,2025-12-13T10:54:04.759Z,REV-015130,Really good Restaurant food. Enjoyed the Restaurant dishes.
CUST-04829,4,4,7,ORD-00049680,4,REST-13983,2026-02-15T23:38:04.759Z,REV-015131,Solid choice for Restaurant. Delivery was quick too.
CUST-00405,4,4,43,ORD-00015842,5,REST-07247,2025-11-26T12:14:04.759Z,REV-015132,Five stars all the way! Will definitely order again.
CUST-00227,2,2,5,ORD-00047459,3,REST-10045,2026-01-06T10:01:04.759Z,REV-015133,It was okay. The meal could be better.
CUST-02735,6,5,35,ORD-00025243,5,REST-00033,2025-12-08T02:28:04.759Z,REV-015134,Incredible experience. The Fast Food dishes was perfect!
CUST-09106,3,3,6,ORD-00014125,2,REST-03598,2025-12-12T22:11:04.759Z,REV-015135,Below expectations. Won't be ordering again.
CUST-07484,6,6,31,ORD-00035704,5,REST-10141,2026-01-16T22:18:04.759Z,REV-015136,Incredible experience. The Restaurant dishes was perfect!
CUST-09254,5,5,6,ORD-00038838,4,REST-18027,2025-12-05T14:06:04.759Z,REV-015137,Really good Restaurant food. Enjoyed the dish.
CUST-07127,4,5,0,ORD-00014137,5,REST-11894,2026-01-03T15:19:04.759Z,REV-015138,Outstanding service and delicious food. Highly recommend!
CUST-05183,4,4,39,ORD-00010320,5,REST-06215,2025-11-25T22:02:04.759Z,REV-015139,Outstanding service and delicious food. Highly recommend!
CUST-01146,6,6,13,ORD-00022400,5,REST-06747,2025-12-13T00:43:04.759Z,REV-015140,Absolutely amazing! Best Restaurant food in Toronto!
CUST-09326,2,2,6,ORD-00014122,2,REST-09969,2026-01-10T07:54:04.759Z,REV-015141,Disappointed with the food. Not worth the price.
CUST-03311,6,6,11,ORD-00011781,5,REST-11340,2025-11-21T00:48:04.759Z,REV-015142,Outstanding service and delicious food. Highly recommend!
CUST-08468,3,5,0,ORD-00004926,4,REST-01356,2025-12-18T15:27:04.759Z,REV-015143,Good experience overall. Food was tasty and hot.
CUST-08433,4,4,9,ORD-00013588,4,REST-15834,2025-11-15T09:46:04.759Z,REV-015144,"Great flavors, good portion sizes. Would order again."
CUST-07449,3,4,9,ORD-00009796,3,REST-07585,2026-02-02T11:21:04.759Z,REV-015145,Not bad but I've had better Restaurant elsewhere.
CUST-04344,2,2,8,ORD-00018846,3,REST-00862,2025-12-08T05:31:04.759Z,REV-015146,Mediocre. Delivery took longer than expected.
CUST-01172,5,3,1,ORD-00024969,4,REST-01143,2026-01-27T21:21:04.759Z,REV-015147,"Great flavors, good portion sizes. Would order again."
CUST-09696,5,3,5,ORD-00037733,4,REST-07010,2025-11-19T15:35:04.759Z,REV-015148,Really good Fast Food food. Enjoyed the Fast Food dishes.
CUST-04835,4,4,5,ORD-00039485,4,REST-10749,2026-01-22T12:40:04.759Z,REV-015149,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-07329,5,6,14,ORD-00041499,5,REST-17722,2025-12-14T12:10:04.759Z,REV-015150,This place never disappoints. Always fresh and tasty.
CUST-04712,6,5,39,ORD-00000223,5,REST-02540,2025-12-02T09:37:04.759Z,REV-015151,Incredible experience. The Fast Food dishes was perfect!
CUST-01590,2,3,5,ORD-00028510,3,REST-14207,2026-01-30T23:51:04.759Z,REV-015152,Not bad but I've had better Fast Food elsewhere.
CUST-05788,1,1,10,ORD-00029862,2,REST-02026,2026-02-08T10:22:04.759Z,REV-015153,Subpar quality. Expected better.
CUST-03921,6,5,2,ORD-00042237,5,REST-08354,2026-01-27T04:22:04.759Z,REV-015154,Incredible experience. The food was perfect!
CUST-03626,4,6,35,ORD-00024984,5,REST-03404,2025-12-12T12:38:04.759Z,REV-015155,Five stars all the way! Will definitely order again.
CUST-01408,3,4,0,ORD-00049827,3,REST-21922,2025-12-24T20:48:04.759Z,REV-015156,Decent Restaurant food but nothing special.
CUST-08871,2,2,0,ORD-00049356,3,REST-22152,2026-01-28T09:35:04.759Z,REV-015157,Not bad but I've had better Restaurant elsewhere.
CUST-06392,4,5,36,ORD-00032432,5,REST-10568,2026-01-10T06:45:04.759Z,REV-015158,Outstanding service and delicious food. Highly recommend!
CUST-05052,3,4,7,ORD-00001108,3,REST-04739,2026-01-11T20:44:04.759Z,REV-015159,Average experience. Food was fine but not remarkable.
CUST-03752,3,4,3,ORD-00028348,3,REST-03050,2025-12-07T16:51:04.759Z,REV-015160,Mediocre. Delivery took longer than expected.
CUST-08642,3,2,8,ORD-00003192,2,REST-14170,2025-12-16T06:08:04.759Z,REV-015161,Subpar quality. Expected better.
CUST-02613,5,4,9,ORD-00034744,4,REST-18963,2026-01-04T11:33:04.759Z,REV-015162,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-09224,5,5,22,ORD-00043667,5,REST-20834,2025-12-14T01:49:04.759Z,REV-015163,Outstanding service and delicious food. Highly recommend!
CUST-01264,4,4,4,ORD-00033802,4,REST-13354,2025-12-19T00:52:04.759Z,REV-015164,Good experience overall. Food was tasty and hot.
CUST-03065,1,2,7,ORD-00003669,2,REST-02756,2025-12-08T00:39:04.759Z,REV-015165,Not happy with this order. Several issues.
CUST-05767,4,5,28,ORD-00010475,5,REST-03731,2026-01-07T11:49:04.759Z,REV-015166,Five stars all the way! Will definitely order again.
CUST-07038,4,4,6,ORD-00014146,4,REST-05640,2026-02-01T16:30:04.759Z,REV-015167,"Great flavors, good portion sizes. Would order again."
CUST-05783,3,3,4,ORD-00019384,4,REST-01328,2026-01-05T01:58:04.759Z,REV-015168,Solid choice for Restaurant. Delivery was quick too.
CUST-03685,4,5,25,ORD-00040717,5,REST-15141,2025-12-14T23:12:04.759Z,REV-015169,Absolutely amazing! Best Fast Food food in Toronto!
CUST-07523,4,3,2,ORD-00026337,4,REST-13745,2026-02-02T20:43:04.759Z,REV-015170,Really good Restaurant food. Enjoyed the food.
CUST-05559,6,4,23,ORD-00000899,5,REST-15615,2026-01-01T02:06:04.759Z,REV-015171,Outstanding service and delicious food. Highly recommend!
CUST-03182,6,4,47,ORD-00047011,5,REST-02714,2026-02-06T05:24:04.759Z,REV-015172,Incredible experience. The meal was perfect!
CUST-04274,6,5,4,ORD-00049177,5,REST-08838,2026-01-09T02:58:04.759Z,REV-015173,Absolutely amazing! Best Restaurant food in Toronto!
CUST-06765,5,3,4,ORD-00015956,4,REST-06483,2025-12-09T06:48:04.759Z,REV-015174,Really good Restaurant food. Enjoyed the Restaurant dishes.
CUST-04836,4,4,11,ORD-00021604,5,REST-20389,2025-12-02T20:52:04.759Z,REV-015175,Absolutely amazing! Best Bar & Grill food in Toronto!
CUST-06002,6,6,25,ORD-00025110,5,REST-20431,2025-11-28T23:18:04.759Z,REV-015176,Absolutely amazing! Best Restaurant food in Toronto!
CUST-07939,3,5,3,ORD-00028024,4,REST-10350,2026-01-29T11:39:04.759Z,REV-015177,Very satisfied with the quality. Minor issue with timing but overall great.
CUST-09641,3,3,6,ORD-00039321,3,REST-02120,2026-02-09T00:45:04.759Z,REV-015178,Mediocre. Delivery took longer than expected.
CUST-05256,3,5,9,ORD-00042311,4,REST-09067,2026-01-04T07:56:04.759Z,REV-015179,Solid choice for Restaurant. Delivery was quick too.
CUST-06724,6,4,27,ORD-00033915,5,REST-13980,2026-01-15T17:24:04.759Z,REV-015180,Five stars all the way! Will definitely order again.
CUST-02895,5,5,5,ORD-00044709,4,REST-08482,2025-11-30T09:50:04.759Z,REV-015181,Really good Restaurant food. Enjoyed the Restaurant dishes.
CUST-05170,3,1,4,ORD-00043157,2,REST-18120,2025-12-06T13:15:04.759Z,REV-015182,Below expectations. Won't be ordering again.
CUST-06814,6,4,42,ORD-00037351,5,REST-03981,2025-12-03T09:11:04.759Z,REV-015183,Five stars all the way! Will definitely order again.
CUST-06087,6,5,43,ORD-00022916,5,REST-18547,2026-01-29T16:16:04.759Z,REV-015184,Outstanding service and delicious food. Highly recommend!
CUST-02118,6,5,37,ORD-00045556,5,REST-07855,2025-11-15T10:08:04.759Z,REV-015185,Outstanding service and delicious food. Highly recommend!
CUST-00369,2,4,2,ORD-00046838,3,REST-18889,2026-01-06T09:22:04.759Z,REV-015186,Average experience. Food was fine but not remarkable.
CUST-01838,4,3,4,ORD-00013156,3,REST-11588,2026-01-14T18:11:04.759Z,REV-015187,Mediocre. Delivery took longer than expected.
CUST-05857,5,3,1,ORD-00014376,4,REST-18509,2025-12-08T12:46:04.759Z,REV-015188,Good experience overall. Food was tasty and hot.
CUST-02099,3,3,8,ORD-00024191,3,REST-04426,2026-01-20T18:24:04.759Z,REV-015189,Average experience. Food was fine but not remarkable.
CUST-07362,4,4,0,ORD-00044153,5,REST-11163,2026-01-01T02:08:04.759Z,REV-015190,Five stars all the way! Will definitely order again.
CUST-09627,4,3,3,ORD-00045773,4,REST-14947,2025-12-05T02:47:04.759Z,REV-015191,Really good Fast Food food. Enjoyed the dish.
CUST-00964,2,2,3,ORD-00001265,3,REST-17663,2025-12-13T20:00:04.759Z,REV-015192,Decent Restaurant food but nothing special.
CUST-06303,4,3,0,ORD-00025888,3,REST-02744,2026-01-12T17:40:04.759Z,REV-015193,It was okay. The meal could be better.
CUST-02047,5,5,2,ORD-00024820,5,REST-14668,2026-02-02T11:11:04.759Z,REV-015194,Incredible experience. The food was perfect!
CUST-02125,6,4,27,ORD-00008087,5,REST-10075,2025-12-21T12:43:04.759Z,REV-015195,Outstanding service and delicious food. Highly recommend!
